id,NAME,neighbourhood group,neighbourhood,lat,long,price,review rate number,number of reviews,occupancy_proxy,estimated_revenue,potential_gain_at_70pct
29970576,Astoria Peachy BnB,Queens,Astoria,40.75967,-73.92044,838.0,5.0,20.0,0.2410958904109589,73744.0,140364.99999999997
29705472,Comfy Cozy studio apt near subway 10 min to JFK ✈️,Brooklyn,East New York,40.67256,-73.86919,581.0,5.0,16.0,0.038356164383561646,8134.0,140311.5
19551436,Prime Bushwick - 10 min to city - Superhost,Brooklyn,Bushwick,40.69675,-73.93374,588.0,5.0,42.0,0.04657534246575343,9996.000000000002,140238.0
54309332,Prime Bushwick - 10 min to city - Superhost,Brooklyn,Bushwick,40.69675,-73.93374,588.0,5.0,42.0,0.04657534246575343,9996.000000000002,140238.0
55978935,Upper East Side Cozy Private Room,Manhattan,Upper East Side,40.77375,-73.9541,950.0,5.0,59.0,0.2958904109589041,102600.00000000001,140125.0
21221039,Upper East Side Cozy Private Room,Manhattan,Upper East Side,40.77375,-73.9541,950.0,5.0,59.0,0.2958904109589041,102600.00000000001,140125.0
37875646,Private Room in Coliving | 20 min PACE University,Brooklyn,Bedford-Stuyvesant,40.67965,-73.94497,650.0,5.0,4.0,0.1095890410958904,25999.999999999996,140074.99999999997
22339447,Cozy Room 1,Brooklyn,Downtown Brooklyn,40.69839,-73.98758,548.0,5.0,1.0,0.0,0.0,140014.0
47240997,Massive Luxury 1BR Condo in Astoria / LIC,Queens,Ditmars Steinway,40.76982,-73.90254,550.0,5.0,18.0,0.0027397260273972603,550.0,139975.0
15669319,Massive Luxury 1BR Condo in Astoria / LIC,Queens,Ditmars Steinway,40.76982,-73.90254,550.0,5.0,18.0,0.0027397260273972603,550.0,139975.0
20120857,A Quiet Space,Brooklyn,Canarsie,40.62831,-73.89876,565.0,5.0,23.0,0.021917808219178082,4520.0,139837.5
54878753,A Quiet Space,Brooklyn,Canarsie,40.62831,-73.89876,565.0,5.0,23.0,0.021917808219178082,4520.0,139837.5
34145964,Brooklyn Sunny Studio,Brooklyn,Bedford-Stuyvesant,40.69113,-73.95776,704.0,5.0,47.0,0.15616438356164383,40128.0,139743.99999999997
34634197,Beautiful Private ROOM | PRIVATE BATHROOM,Brooklyn,Bushwick,40.69264,-73.91171,549.0,5.0,1.0,0.0027397260273972603,549.0,139720.49999999997
30984598,"5 min from midtown, but peaceful.",Queens,Long Island City,40.74427,-73.95475,1198.0,5.0,111.0,0.38082191780821917,166522.0,139566.99999999994
57295066,Private Room 2 in East Village (Large Window),Manhattan,East Village,40.72208,-73.98109,1086.0,5.0,116.0,0.34794520547945207,137922.0,139551.0
13063016,Private Room 2 in East Village (Large Window),Manhattan,East Village,40.72208,-73.98109,1086.0,5.0,116.0,0.34794520547945207,137922.0,139551.0
51625706,Private Room 2 in East Village (Large Window),Manhattan,East Village,40.72208,-73.98109,1086.0,5.0,116.0,0.34794520547945207,137922.0,139551.0
44634693,Private Room 2 in East Village (Large Window),Manhattan,East Village,40.72208,-73.98109,1086.0,5.0,116.0,0.34794520547945207,137922.0,139551.0
